gaiaId,propertyId,hotelName,hotelDesc,rating,address,imageURL
2655,4937712,Solvita Hotel Naha,"Located 3.2 mi (5.1 km) from the airport, Solvita Hotel Naha puts you 0.5 mi (0.8 km) from Kokusai Dori and 0.5 mi (0.8 km) from Tomari Port. Guests indulge in massages, then grab a bite to eat at the restaurant. Also, this hotel is 3 mi (4.8 km) from Shurijo Castle. Fellow travelers like the overall property condition. The property is just a short walk to public transportation: Miebashi Station is 9 minutes and Kenchomae Station is 9 minutes.   ",8.4/10 Very Good,"2-17-17 Matsuyama, Naha, Okinawa-ken, 900-0032",https://images.trvl-media.com/lodging/5000000/4940000/4937800/4937712/e3294ff6.jpg?impolicy=resizecrop&rw=1200&ra=fit
2655,3558198,Novotel Okinawa Naha,"Novotel Okinawa Naha features a free kids' club and puts you just a 5-minute drive from Kokusai Dori. Guests can take a dip in the seasonal outdoor pool or grab a bite to eat at FOOD EXCHANGE AVANCER, which is one of 3 restaurants and serves breakfast, lunch, and dinner. A bar/lounge, a 24-hour fitness center, and a fitness center are other highlights at this luxurious hotel. The pool and overall property condition get good marks from fellow travelers.   ",9.0/10 Wonderful,"40 Matsukawa, Naha, Okinawa-ken, 902-0062",https://images.trvl-media.com/lodging/4000000/3560000/3558200/3558198/bb8d8be6.jpg?impolicy=resizecrop&rw=1200&ra=fit
2655,5290607,Pacific Hotel Okinawa,"Located 3.3 mi (5.3 km) from the airport, Pacific Hotel Okinawa puts you 0.7 mi (1.2 km) from Kokusai Dori and 1.3 mi (2.1 km) from Tomari Port. For a bite to eat, guests can check out Garden Restaurant Ryutan, one of 2 restaurants, which serves breakfast, lunch, and dinner. A bar/lounge, a snack bar/deli, and a terrace are other highlights. Fellow travelers say good things about the helpful staff.   ",7.8/10 Good,"3-6-1, Nishi, Naha, Okinawa-ken, 900-0036",https://images.trvl-media.com/lodging/6000000/5300000/5290700/5290607/7ce9914c.jpg?impolicy=resizecrop&rw=1200&ra=fit
2655,12385623,Hotel Gracery Naha,"Located 3.5 mi (5.6 km) from the airport, Hotel Gracery Naha puts you 0.1 mi (0.1 km) from Kokusai Dori and 0.8 mi (1.3 km) from Tomari Port. Free perks include WiFi and wired Internet. Also, this hotel is 2.6 mi (4.3 km) from Shurijo Castle. Fellow travelers say good things about the breakfast. The property is just a short walk to public transportation: Kenchomae Station is 4 minutes and Miebashi Station is 10 minutes.   ",9.0/10 Wonderful,"Matsuo 1-3-6, Naha, 900-0014",https://images.trvl-media.com/lodging/13000000/12390000/12385700/12385623/32c6bc43.jpg?impolicy=resizecrop&rw=1200&ra=fit
2655,3981115,Loisir Spa Tower Naha,"Located 3.4 mi (5.5 km) from the airport, Loisir Spa Tower Naha puts you 0.7 mi (1.2 km) from Kokusai Dori and 1.5 mi (2.3 km) from Tomari Port. Guests can visit the spa to indulge in massages, aromatherapy, or Ayurvedic treatments, and All Day Dining FONTAINE serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include an indoor pool, an outdoor pool, and a bar/lounge. Public transportation is close by: Asahibashi Station is just 14 minutes by foot.   ",8.8/10 Excellent,"3-2-1 Nishi, Naha, Okinawa-ken, 900-0036",https://images.trvl-media.com/lodging/4000000/3990000/3981200/3981115/dfb601ad.jpg?impolicy=resizecrop&rw=1200&ra=fit
2655,4950921,Smile Hotel Okinawa Naha,"Located 3.9 mi (6.3 km) from the airport, Smile Hotel Okinawa Naha puts you 0.1 mi (0.1 km) from Tomari Port and 0.7 mi (1.1 km) from Kokusai Dori. Free perks include WiFi and wired Internet. Also, this hotel is 2.6 mi (4.2 km) from Shurijo Castle. The property is just a short walk to public transportation: Miebashi Station is 7 minutes and Kenchomae Station is 15 minutes.   ",7.8/10 Good,"3-24-1 Maejima, Naha, Okinawa-ken, 900-0016",https://images.trvl-media.com/lodging/5000000/4960000/4951000/4950921/ff4fb72e.jpg?impolicy=resizecrop&rw=1200&ra=fit
2697,22877,Grand Prince Hotel Osaka Bay,"Putting you just a 5-minute drive from Osaka Aquarium Kaiyukan and Intex Osaka, Grand Prince Hotel Osaka Bay offers an airport shuttle during limited hours for JPY 1600 per person. Guests can visit the spa to indulge in deep-tissue massages, facials, or body treatments, and international cuisine is served at The Caf??, which is open for breakfast, lunch, and dinner. Other highlights at this luxurious hotel include an indoor pool, an outdoor pool, and a poolside bar. The helpful staff and overall property condition get good marks from fellow travelers. Public transportation is just a short walk: Nakafuto Station is 6 minutes and Trade Center-mae Station is 7 minutes.   ",8.4/10 Very Good,"1-13-11 Nanko-Kita, Suminoe-Ku, Osaka, Osaka-fu, 559 0034",https://images.trvl-media.com/lodging/1000000/30000/22900/22877/5f632d42.jpg?impolicy=resizecrop&rw=1200&ra=fit
2697,2492916,Hotel Monterey Grasmere Osaka,"When you stay at Hotel Monterey Grasmere Osaka, you'll be within a 15-minute walk of Dotonbori and Kuromon Ichiba Market. Guests can indulge in massages, and ESCALE, one of 3 restaurants, serves lunch and dinner. This upscale hotel is also just a 5-minute drive from Kyocera Dome Osaka and Nipponbashi. Fellow travelers like that it's only a short walk to public transportation: Namba Station is steps away and JR Namba Station is 5 minutes. ",9.0/10 Wonderful,"1-2-3 Minatomachi, Naniwa-ku, Osaka, Osaka-fu, 5560017",https://images.trvl-media.com/lodging/3000000/2500000/2493000/2492916/e330dc90.jpg?impolicy=resizecrop&rw=1200&ra=fit
2697,36829284,APA Hotel ???¨É?ˇ Resort Midosuji Hommachi Eki Tower,"APA Hotel ã¨? Resort Midosuji Hommachi Eki Tower puts you just a 5-minute drive from Dotonbori and Kyocera Dome Osaka. The seasonal outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at ?ü??üØ?ü??ü??ü??ü?, which serves Japanese cuisine and is open for breakfast, lunch, and dinner. Also, Osaka Castle and Orix Theater are just a 5-minute drive away. Fellow travelers like that it's only a short walk to public transportation: Hommachi Station is steps away and Sakaisuji-hommachi Station is 8 minutes. ",8.6/10 Excellent,"4-2-9 Minamihon-cho, Chuo, Osaka, Osaka, 541-0054",https://images.trvl-media.com/lodging/37000000/36830000/36829300/36829284/64b6ffe3.jpg?impolicy=resizecrop&rw=1200&ra=fit
2697,3895692,APA Hotel Osaka Higobashi Station,"When you stay at APA Hotel Osaka Higobashi Station, you'll be just a 5-minute drive from Dotonbori and Kyocera Dome Osaka. For a bite to eat, guests can check out LA VERANDA, one of 2 restaurants, which serves breakfast, lunch, and dinner. Also, Orix Theater and Nipponbashi are just a 5-minute drive away. Public transportation is just a short walk: Higobashi Station is steps away and Nishi-Umieda Station is 9 minutes.   ",8.2/10 Very Good,"1-2-1 Tosabori, Nishi-ku, Osaka, Osaka-fu, 550-0001",https://images.trvl-media.com/lodging/4000000/3900000/3895700/3895692/58517ce5.jpg?impolicy=resizecrop&rw=1200&ra=fit
