300000040,6359514,"Changi, Singapore, Singapore"
300000040,6005085,"Chinatown, Singapore, Singapore"
300000040,502825,"Jurong Bird Park, Singapore, Singapore"
300000040,6005088,"Jurong, Singapore, Singapore"
300000040,6347789,"Kranji, Singapore, Singapore"
300000040,6211365,"Marina Bay Sands Casino, Singapore, Singapore"
300000040,6047873,"Marina Bay, Singapore, Singapore"
300000040,6220571,"Novena Medical Centre, Singapore, Singapore"
300000040,6220575,"Seletar Reservoir Park, Singapore, Singapore"
300000040,6047875,"Sentosa Island, Singapore, Singapore"
300000040,161,Singapore
300000040,3168,"Singapore, Singapore"
300000040,5130579,"Singapore, Singapore (SIN-Changi)"
300000040,6033338,"Singapore, Singapore (XSP-Seletar)"
