300000037,89,Japan
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan"
300000037,1635,"Ishigaki, Okinawa Prefecture, Japan"
300000037,1772,"Kochi, Kochi Prefecture, Japan"
300000037,1818,"Niigata, Niigata Prefecture, Japan"
300000037,1838,"Kitakyushu, Fukuoka Prefecture, Japan"
300000037,1858,"Kumamoto, Kumamoto Prefecture, Japan"
300000037,1884,"Kagoshima, Kagoshima Prefecture, Japan"
300000037,2368,"Miyakojima, Okinawa Prefecture, Japan"
300000037,2489,"Matsuyama, Ehime Prefecture, Japan"
300000037,2554,"Nagoya, Aichi Prefecture, Japan"
300000037,2555,"Nagasaki, Nagasaki Prefecture, Japan"
300000037,2655,"Naha, Okinawa Prefecture, Japan"
300000037,2697,"Osaka, Osaka Prefecture, Japan"
300000037,3110,"Sendai, Miyagi Prefecture, Japan"
