siteId,gaiaId,regionName,propertyId,hotelName,hotelDesc,rating,address,imageURL
300000040,6359514,"Changi, Singapore, Singapore",2330793,ibis Singapore On Bencoolen,"Ibis Singapore On Bencoolen puts you just a 5-minute drive from Marina Bay Sands Casino and Bugis Street Shopping District. The restaurant is the perfect spot for a bite to eat, and after visiting the fitness center for a workout, you can unwind with a drink at the bar/lounge. Also, Gardens by the Bay and Marina Bay Sands Skypark are just a 5-minute drive away. Fellow travelers like that it's just a short walk to public transportation: Rochor MRT Station is 5 minutes away and Bencoolen Station is 5 minutes. ",8.4/10 Very Good,"170 Bencoolen Street, Singapore, 189657",https://images.trvl-media.com/lodging/3000000/2340000/2330800/2330793/68c91e60.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",182973,Village Hotel Changi by Far East Hospitality,"Village Hotel Changi by Far East Hospitality offers a free airport shuttle at scheduled times. After splashing around at one of the 2 outdoor pools, guests can grab a bite to eat at the restaurant. Other highlights at this upscale hotel include a 24-hour fitness center, a fitness center, and a seasonal outdoor pool. The helpful staff and location get good marks from fellow travelers. Â  ",8.0/10 Very Good,"1 Netheravon Road, Singapore, 508502",https://images.trvl-media.com/lodging/1000000/190000/183000/182973/cdf24a51.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",37996413,YOTELAIR Singapore Changi Airport,"At YOTELAIR Singapore Changi Airport, you'll be 3.7 mi (6 km) from Singapore Expo and 3.9 mi (6.3 km) from East Coast Park. Other highlights include a 24-hour fitness center and a fitness center. The comfortable beds and helpful staff get good marks from fellow travelers. Public transportation is just a short walk: C Station is 12 minutes and E Station is 12 minutes. Â  ",8.0/10 Very Good,"78 Airport Boulevard, Changi, #04-280, Singapore, 819666",https://images.trvl-media.com/lodging/38000000/38000000/37996500/37996413/134fd48b.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",182973,Village Hotel Changi by Far East Hospitality,"Village Hotel Changi by Far East Hospitality offers a free airport shuttle at scheduled times. After splashing around at one of the 2 outdoor pools, guests can grab a bite to eat at the restaurant. Other highlights at this upscale hotel include a 24-hour fitness center, a fitness center, and a seasonal outdoor pool. The helpful staff and location get good marks from fellow travelers. Â  ",8.0/10 Very Good,"1 Netheravon Road, Singapore, 508502",https://images.trvl-media.com/lodging/1000000/190000/183000/182973/cdf24a51.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",2057692,"Crowne Plaza Changi Airport, an IHG Hotel","Just 0.9 mi (1.4 km) from the airport, Crowne Plaza Changi Airport, an IHG Hotel puts you 3.6 mi (5.8 km) from Singapore Expo and 3.7 mi (6 km) from East Coast Park. You can splash around at the outdoor pool, visit one of the 2 restaurants for a bite to eat, or unwind with a drink at the bar/lounge. Other highlights at this luxurious hotel include a fitness center, a terrace, and a garden. The pool and comfortable beds get great marks from fellow travelers. Public transportation is just a short walk: C Station is 4 minutes and B Station is 6 minutes. Â  ",9.2/10 Wonderful,"75 Airport Boulevard, Singapore, 819644",https://images.trvl-media.com/lodging/3000000/2060000/2057700/2057692/606cae7d.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",9625754,Hilton Garden Inn Singapore Serangoon,"Hilton Garden Inn Singapore Serangoon puts you just a 5-minute drive from Marina Bay Sands Casino and Bugis Street Shopping District. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Together & Co., which serves international cuisine and is open for breakfast, lunch, and dinner. This upscale hotel also features a bar/lounge, a 24-hour fitness center, and a fitness center. Fellow travelers say good things about the helpful staff and overall property condition. Public transportation is just a short walk: Little India Station is 4 minutes and Farrer Park Station is 7 minutes. Â  ",8.2/10 Very Good,"3 Belilios Road, Singapore, 219924",https://images.trvl-media.com/lodging/10000000/9630000/9625800/9625754/20d73f91.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",12511476,"Holiday Inn Express Singapore Katong, an IHG Hotel","Holiday Inn Express Singapore Katong, an IHG Hotel puts you within a 10-minute drive of Marina Bay Sands Casino and Marina Bay Sands Skypark. The restaurant is the perfect spot for a bite to eat, and after visiting the 24-hour fitness center for a workout, you can unwind with a drink at the bar/lounge. Also, Bugis Street Shopping District and Gardens by the Bay are within a short drive. Fellow travelers like the overall property condition and location. The property is just a short walk to public transportation: Marine Parade Station is 6 minutes away. Â  ",8.8/10 Excellent,"88 East Coast Road, Katong Square, Singapore, 423371",https://images.trvl-media.com/lodging/13000000/12520000/12511500/12511476/a440ed2b.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",13434756,Ambassador Transit Hotel Terminal 2,"At Ambassador Transit Hotel Terminal 2, you'll be 3.3 mi (5.3 km) from Singapore Expo and 3.5 mi (5.6 km) from East Coast Park. The property is just a short walk to public transportation: E Station is 2 minutes and F Station is 3 minutes. Â  ",8.2/10 Very Good,"Singapore Changi Airport, PTB2, Departure, Level 3, Terminal 2, Singapore, 918155",https://images.trvl-media.com/lodging/14000000/13440000/13434800/13434756/02b5cd82.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",5312974,"Capri by Fraser Changi City, Singapore","Located 4.6 mi (7.4 km) from the airport, Capri by Fraser Changi City, Singapore puts you 0.4 mi (0.7 km) from Singapore Expo and 2.6 mi (4.2 km) from East Coast Park. The restaurant is the perfect spot for a bite to eat, and after visiting the 24-hour fitness center for a workout, you can unwind with a drink at the bar/lounge. An outdoor pool and a sauna are offered, and in-room conveniences include refrigerators and microwaves. Public transportation is close by: Expo Station is just 11 minutes by foot. Â  ",9.0/10 Wonderful,"3 Changi Business Park Central 1, Singapore, 486037",https://images.trvl-media.com/lodging/6000000/5320000/5313000/5312974/9b7958bf.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",73360826,Hotel Traveltine,"Hotel Traveltine puts you just a 5-minute drive from Marina Bay Sands Casino and Bugis Street Shopping District. After having fun at the outdoor pool, you can grab a bite to eat at the restaurant. This upscale hotel is also just a 5-minute drive from Gardens by the Bay and Marina Bay Sands Skypark. The property is just a short walk to public transportation: Nicoll Highway Station is 6 minutes and Lavender Station is 11 minutes. Â  ",8.0/10 Very Good,"700 Beach Rd, Singapore, 199598",https://images.trvl-media.com/lodging/74000000/73370000/73360900/73360826/91c8b6c8.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",6482511,Park Avenue Changi,"Located 4.4 mi (7 km) from the airport, Park Avenue Changi puts you 0.3 mi (0.4 km) from Singapore Expo and 2.7 mi (4.3 km) from East Coast Park. The restaurant is the perfect spot for a bite to eat, and after visiting the fitness center for a workout, you can unwind with a drink at the bar/lounge. Also, this hotel is within a short drive of Bugis Street Shopping District. Fellow travelers say good things about the helpful staff and airport proximity. The property is just a short walk to public transportation: Expo Station is 11 minutes and Upper Changi Station is 14 minutes. Â  ",8.4/10 Very Good,"2 Changi Business Park Avenue 1, Singapore, 486015",https://images.trvl-media.com/lodging/7000000/6490000/6482600/6482511/b1897a79.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",6980410,Changi Cove,"Changi Cove features a rooftop terrace and puts you 4.7 mi (7.6 km) from Singapore Expo. Guests can visit the fitness center for a workout or grab a bite to eat at The White Olive, which serves local and international cuisine and is open for lunch and dinner. Fellow travelers like the helpful staff. Â  ",8.4/10 Very Good,"351 Cranwell Road, Singapore, 509866",https://images.trvl-media.com/lodging/7000000/6990000/6980500/6980410/9ffc28ba.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",42723659,Dusit Thani Laguna Singapore,"Dusit Thani Laguna Singapore is just 4.2 mi (6.8 km) from the airport and offers a free shuttle (available on request). Guests can visit the spa to indulge in massages, facials, or body scrubs, and local and international cuisine is served at Greenhouse, which is open for breakfast, lunch, and dinner. Other highlights at this luxurious hotel include 3 outdoor pools, a golf course, and a poolside bar. Fellow travelers like the pool and helpful staff. The property is just a short walk to public transportation: Xilin Station is 8 minutes away. Â  ",8.6/10 Excellent,"11 Laguna Golf Green, Singapore, 488047",https://images.trvl-media.com/lodging/43000000/42730000/42723700/42723659/ff034e6b.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6359514,"Changi, Singapore, Singapore",15061900,D'Resort at Downtown East,D'Resort at Downtown East puts you 3.6 mi (5.8 km) from Singapore Expo. Guests can splash around at the water park or grab a bite to eat at the coffee shop/cafe. Fellow travelers say good things about the helpful staff and overall property condition. Public transportation is close by: Pasir Ris Station is just 15 minutes by foot. Â  ,8.0/10 Very Good,"1 Pasir Ris Close, Singapore, 519599",https://images.trvl-media.com/lodging/16000000/15070000/15061900/15061900/65ee7ba2.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6005085,"Chinatown, Singapore, Singapore",27537658,"Maxwell Reserve Singapore, Autograph Collection","Maxwell Reserve Singapore, Autograph Collection puts you just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Cultivate Cafe, one of 2 restaurants, which serves vegan cuisine and is open for breakfast, lunch, and dinner. Other highlights at this luxurious hotel include 2 bars/lounges, a fitness center, and a terrace. Public transportation is just a short walk: Maxwell Station is 3 minutes and Tanjong Pagar Station is 6 minutes. Â  ",8.8/10 Excellent,"2 Cook Street, Singapore, 78857",https://images.trvl-media.com/lodging/28000000/27540000/27537700/27537658/0c443c14.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6005085,"Chinatown, Singapore, Singapore",892933,"Duxton Reserve Singapore, Autograph Collection","Duxton Reserve Singapore, Autograph Collection puts you just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests looking for a bite to eat can check out the restaurant, and the bar/lounge is the perfect spot to grab a drink at the end of the day. This luxurious hotel is also just a 5-minute drive from Gardens by the Bay and Bugis Street Shopping District. The property is just a short walk to public transportation: Maxwell Station is 3 minutes and Tanjong Pagar Station is 6 minutes. Â  ",8.6/10 Excellent,"83 Duxton Road, Singapore, 089540",https://images.trvl-media.com/lodging/1000000/900000/893000/892933/83a03e7e.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6005085,"Chinatown, Singapore, Singapore",91580180,Mondrian Singapore Duxton,"Mondrian Singapore Duxton puts you just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests can take a dip in the outdoor pool or grab a bite to eat at Bottega Di Carna, which is one of 4 restaurants and serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include a fitness center and a poolside bar. The property is just a short walk to public transportation: Maxwell Station is 4 minutes and Tanjong Pagar Station is 10 minutes. Â  ",8.4/10 Very Good,"16A DUXTON HILL, Singapore, 089970",https://images.trvl-media.com/lodging/92000000/91590000/91580200/91580180/d20053e7.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6005085,"Chinatown, Singapore, Singapore",1141522,The Scarlet Hotel,"When you stay at The Scarlet Hotel, you'll be just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests can be pampered with massages at the spa. Other highlights at this upscale hotel include a fitness center and a terrace. The helpful staff and location get great marks from fellow travelers. The property is just a short walk to public transportation: Maxwell Station is 3 minutes and Telok Ayer Station is 7 minutes. Â  ",8.4/10 Very Good,"33 Erskine Road, Singapore, 069333",https://images.trvl-media.com/lodging/2000000/1150000/1141600/1141522/6584e750.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6005085,"Chinatown, Singapore, Singapore",8639079,Orchid Hotel,"When you stay at Orchid Hotel, you'll be just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests can take a dip in the outdoor pool or grab a bite to eat at Ya Ge(Chinese Restaurant), which serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include a bar/lounge and a garden. Public transportation is just a short walk: Tanjong Pagar Station is 3 minutes and Maxwell Station is 7 minutes. Â  ",8.4/10 Very Good,"1 Tras Link (Tanjong Pagar), Singapore, 078867",https://images.trvl-media.com/lodging/9000000/8640000/8639100/8639079/21f1b279.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000040,6005085,"Chinatown, Singapore, Singapore",37207055,"KÃ„â€œSa House, The Unlimited Collection by Oakwood","At KÄ“Sa House, The Unlimited Collection by Oakwood, you'll be just a 5-minute drive from Marina Bay Sands Casino and Bugis Street Shopping District. You can relax with a drink at the bar/lounge, and the 4 restaurants are nice spots to grab a bite to eat. Also, Marina Bay Sands Skypark and Gardens by the Bay are just a 5-minute drive away. Fellow travelers like the helpful staff and location. The property is just a short walk to public transportation: Outram Park Station is 6 minutes and Maxwell Station is 7 minutes. Â  ",9.2/10 Wonderful,"55 Keong Saik Rd., Singapore, 089158",https://images.trvl-media.com/lodging/38000000/37210000/37207100/37207055/acf4196d.jpg?impolicy=resizecrop&rw=1200&ra=fit
