siteId,gaiaId,regionName,propertyId,hotelName,hotelDesc,rating,address,imageURL
300000037,89,Japan,44256741,Hotel SANSUI Naha,"Located 3.1 mi (5 km) from the airport, Hotel SANSUI Naha features a rooftop terrace and puts you just a 5-minute drive from Kokusai Dori. After splashing around at one of the 2 outdoor pools, guests can grab a bite to eat at the restaurant. Also, this hotel is 1 mi (1.7 km) from Tomari Port and 3.7 mi (5.9 km) from Shurijo Castle. Fellow travelers say good things about the helpful staff and overall property condition.   ",8.4/10 Very Good,"2-25-1 Tsuji, Naha, Okinawa, 900-0037",https://images.trvl-media.com/lodging/45000000/44260000/44256800/44256741/08b0c8a1.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,89,Japan,45007734,Lequ Okinawa Chatan Spa & Resort,"When you stay at Lequ Okinawa Chatan Spa & Resort, you'll be within a 10-minute drive of American Village and Kadena Air Base. Guests can be pampered with Thai massages at the spa and grab a bite to eat at the restaurant. A poolside bar, a fitness center, and a sauna are other highlights at this upscale hotel. The pool and helpful staff get good marks from fellow travelers.   ",9.2/10 Wonderful,"34-2 Mihama, Chatan, Okinawa, 904-0115",https://images.trvl-media.com/lodging/46000000/45010000/45007800/45007734/e2532562.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",27473943,The Royal Park Hotel Hiroshima RiverSide,"The Royal Park Hotel Hiroshima RiverSide puts you 1.3 mi (2 km) from Atomic Bomb Dome. Guests looking for a bite to eat can check out The Riverside Café, which serves breakfast and lunch. Fellow travelers say great things about the helpful staff and location. The property is just a short walk to public transportation: Jogakuin-mae Station is 7 minutes and Shukkeien-mae Station is 7 minutes.   ",9.0/10 Wonderful,"7-14 Kaminobori-cho, Naka-ku, Hiroshima, Hiroshima, 730-0014",https://images.trvl-media.com/lodging/28000000/27480000/27474000/27473943/1509e7d6.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",20216065,Candeo Hotels Hiroshima Hatchobori,"Candeo Hotels Hiroshima Hatchobori puts you 0.7 mi (1.2 km) from Atomic Bomb Dome. Guests can be pampered with massages at the spa and grab a bite to eat at the restaurant. Other features include a spa tub, a sauna, and a steam room. The location and walkable location get great marks from fellow travelers. The property is just a short walk to public transportation: Hatchobori Station is steps away and Ebisu-cho Station is 4 minutes.   ",8.8/10 Excellent,"14-1 Hatchobori, Naka-ku, Hiroshima, Hiroshima, 730-0013",https://images.trvl-media.com/lodging/21000000/20220000/20216100/20216065/5451ce57.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",15139280,APA Hotel Hiroshima Station Ohashi,APA Hotel Hiroshima Station Ohashi puts you 1.3 mi (2.1 km) from Atomic Bomb Dome. The helpful staff and overall property condition get good marks from fellow travelers. Public transportation is just a short walk: Matoba-cho Station is 5 minutes and Inari-machi Station is 5 minutes.   ,8.6/10 Excellent,"2-26, Kyobashicho, Minami-ku, Hiroshima, Hiroshima, 732-0828",https://images.trvl-media.com/lodging/16000000/15140000/15139300/15139280/39c85266.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",6243847,Hiroshima Washington Hotel,Hiroshima Washington Hotel puts you 0.7 mi (1.1 km) from Atomic Bomb Dome. You'll have free perks like WiFi and wired Internet. Fellow travelers say great things about the nice bathrooms and nearby shopping. Public transportation is just a short walk: Hatchobori Station is 4 minutes and Ebisu-cho Station is 4 minutes.   ,8.8/10 Excellent,"2-10 Shintenchi Nakaku, Hiroshima, Hiroshima-ken, 730-0034",https://images.trvl-media.com/lodging/7000000/6250000/6243900/6243847/70acac16.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",68637975,HOTEL MYSTAYS Hiroshima Peace Park,"HOTEL MYSTAYS Hiroshima Peace Park puts you 0.4 mi (0.7 km) from Atomic Bomb Dome. For a bite to eat, guests can check out 瀬戸内ダイニング オストラス, one of 2 restaurants, which serves breakfast. Fellow travelers say good things about the breakfast and location. The property is just a short walk to public transportation: Chuden-mae Station is 3 minutes and Fukuro-machi Station is 4 minutes.   ",8.2/10 Very Good,"3-3-1 Otemachi, Naka, Hiroshima, Hiroshima, 730-0051",https://images.trvl-media.com/lodging/69000000/68640000/68638000/68637975/6fa653d4.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",27473943,The Royal Park Hotel Hiroshima RiverSide,"The Royal Park Hotel Hiroshima RiverSide puts you 1.3 mi (2 km) from Atomic Bomb Dome. Guests looking for a bite to eat can check out The Riverside Café, which serves breakfast and lunch. Fellow travelers say great things about the helpful staff and location. The property is just a short walk to public transportation: Jogakuin-mae Station is 7 minutes and Shukkeien-mae Station is 7 minutes.   ",9.0/10 Wonderful,"7-14 Kaminobori-cho, Naka-ku, Hiroshima, Hiroshima, 730-0014",https://images.trvl-media.com/lodging/28000000/27480000/27474000/27473943/6a9e4c99.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",75030621,Hilton Hiroshima,"Hilton Hiroshima puts you 1.1 mi (1.8 km) from Atomic Bomb Dome. Guests can be pampered with spa services at the spa and grab a bite to eat at one of the 2 restaurants. Other highlights at this upscale hotel include an indoor pool, a bar/lounge, and a 24-hour fitness center. Fellow travelers love the helpful staff. The property is just a short walk to public transportation: Takanobashi Station is 11 minutes and Chuden-mae Station is 11 minutes.   ",9.2/10 Wonderful,"Fujimicho 11-12, Naka-ku, Hiroshima, Hiroshima, 730-0043",https://images.trvl-media.com/lodging/76000000/75040000/75030700/75030621/93e400ae.jpg?impolicy=resizecrop&rw=1200&ra=fit
300000037,1465,"Hiroshima, Hiroshima Prefecture, Japan",3785625,Mitsui Garden Hotel Hiroshima,"Mitsui Garden Hotel Hiroshima puts you 0.6 mi (1 km) from Atomic Bomb Dome. Guests looking for a bite to eat can check out RESTAURANT CONFRERE, which serves breakfast and lunch. Fellow travelers say great things about the helpful staff and location. Public transportation is just a short walk: Fukuro-machi Station is 5 minutes and Chuden-mae Station is 7 minutes.   ",8.6/10 Excellent,"9-12 NakaMachi Naka-Ku, Hiroshima, Hiroshima-ken, 730-0037",https://images.trvl-media.com/lodging/4000000/3790000/3785700/3785625/7049e525.jpg?impolicy=resizecrop&rw=1200&ra=fit
