46752,"Four Points by Sheraton Singapore, Riverview","When you stay at Four Points by Sheraton Singapore, Riverview, you'll be just a 5-minute drive from Orchard Road and Marina Bay Sands Casino. Guests can take a dip in the outdoor pool or grab a bite to eat at Four Points Eatery, which is one of 3 restaurants and serves breakfast, lunch, and dinner. This upscale hotel also features a bar/lounge, a 24-hour fitness center, and a fitness center. The property is just a short walk to public transportation: Havelock Station is 6 minutes and Great World Station is 13 minutes.   ",8.2/10 Very Good,"382 Havelock Road, Singapore, 169629",https://images.trvl-media.com/lodging/1000000/50000/46800/46752/37a0729a.jpg?impolicy=resizecrop&rw=500&ra=fit
46753,Furama RiverFront,"Furama RiverFront features a free kids' club and puts you just a 5-minute drive from Orchard Road and Bugis Street Shopping District. Guests can take a dip in the outdoor pool or grab a bite to eat at Kintamani Indonesian Rest, which is one of 2 restaurants and serves lunch and dinner. This upscale hotel also features a bar/lounge, a fitness center, and a children's pool. Public transportation is just a short walk: Havelock Station is 5 minutes and Outram Park Station is 13 minutes.   ",7.6/10 Good,"405 Havelock Road, Singapore, 169633",https://images.trvl-media.com/lodging/1000000/50000/46800/46753/202a5176.jpg?impolicy=resizecrop&rw=500&ra=fit
200618,"Holiday Inn Express and Suites Singapore Novena, an IHG Hotel","Holiday Inn Express and Suites Singapore Novena, an IHG Hotel puts you just a 5-minute drive from Orchard Road and Bugis Street Shopping District. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at The Great Room, which serves international cuisine and is open for breakfast, lunch, and dinner. Other highlights at this upscale hotel include a fitness center, a snack bar/deli, and a terrace. The property is just a short walk to public transportation: Farrer Park Station is 13 minutes away.   ",8.8/10 Fabulous,"201 Balestier Road, Singapore 329926,, Singapore, SIN, 329926",https://images.trvl-media.com/lodging/1000000/210000/200700/200618/aab7f747.jpg?impolicy=resizecrop&rw=500&ra=fit
415683,Hotel Grand Pacific,"Putting you just a 5-minute drive from Marina Bay Sands Casino and Orchard Road, Hotel Grand Pacific offers an airport shuttle (available 24 hours) for SGD 95 per vehicle. The outdoor pool is a great spot to take a dip, and guests can grab a bite to eat at Suns Cafe, which serves local cuisine and is open for breakfast, lunch, and dinner. Other highlights at this upscale hotel include a bar/lounge, a fitness center, and a terrace. The property is just a short walk to public transportation: Bras Basah Station is 4 minutes and Bugis Station is 7 minutes.   ",7.6/10 Good,"101 Victoria Street, Singapore, 188018",https://images.trvl-media.com/lodging/1000000/420000/415700/415683/822d4ffc.jpg?impolicy=resizecrop&rw=500&ra=fit
415721,"Holiday Inn Singapore Atrium, an IHG Hotel","At Holiday Inn Singapore Atrium, an IHG Hotel, you'll be within a 10-minute drive of Orchard Road and Marina Bay Sands Casino. After a dip in one of 2 outdoor pools, guests can grab a bite to eat at Atrium Restaurant, one of 2 restaurants, which serves Halal dishes and is open for breakfast, lunch, and dinner. Other highlights at this upscale hotel include a bar/lounge, a 24-hour fitness center, and a fitness center. Public transportation is just a short walk: Havelock Station is 3 minutes and Outram Park Station is 14 minutes.   ",8.4/10 Very Good,"317 Outram Road, Singapore, 169075",https://images.trvl-media.com/lodging/1000000/420000/415800/415721/195e40f4.jpg?impolicy=resizecrop&rw=500&ra=fit
455121,Great World Serviced Apartments,"Putting you within a 10-minute drive of Orchard Road and Marina Bay Sands Casino, Great World Serviced Apartments features a free kids' club and offers an airport shuttle (available 24 hours) for SGD 113.40 per vehicle. You can relax at the steam room, work out at the 24-hour fitness center, or unwind with a drink at the pool bar. An outdoor pool and an outdoor tennis court are other highlights, and apartments feature soaking tubs and kitchens. Public transportation is just a short walk: Great World Station is 7 minutes and Havelock Station is 10 minutes.   ",9.4/10 Exceptional,"2 Kim Seng Walk, Singapore, 239404",https://images.trvl-media.com/lodging/1000000/460000/455200/455121/998fa564.jpg?impolicy=resizecrop&rw=500&ra=fit
522201,Hotel Grand Central,"Hotel Grand Central puts you just a 5-minute drive from Orchard Road and Bugis Street Shopping District. Guests can take a dip in the outdoor pool or grab a bite to eat at Breakfast Room, which serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include a fitness center and a children's pool. The property is just a short walk to public transportation: Somerset Station is 5 minutes and Dhoby Ghaut Station is 7 minutes.   ",7.0/10 Good,"22 Cavenagh Road, Singapore, 229617",https://images.trvl-media.com/lodging/1000000/530000/522300/522201/da0aedc3.jpg?impolicy=resizecrop&rw=500&ra=fit
553889,Grand Copthorne Waterfront,"At Grand Copthorne Waterfront, you'll be just a 5-minute drive from Orchard Road and Marina Bay Sands Casino. You can grab a bite to eat at one of the 2 restaurants and visit the spa to be pampered with massages, facials, or mani/pedis. Other features of this luxurious hotel include an outdoor pool, a bar/lounge, and a fitness center. Fellow travelers like the overall property condition and breakfast. The property is just a short walk to public transportation: Havelock Station is 4 minutes and Great World Station is 13 minutes.   ",8.2/10 Very Good,"392 Havelock Road, Singapore, 169663",https://images.trvl-media.com/lodging/1000000/560000/553900/553889/76823fb5.jpg?impolicy=resizecrop&rw=500&ra=fit
555023,Copthorne King's Hotel Singapore on Havelock,"At Copthorne King's Hotel Singapore on Havelock, you'll be within a 10-minute drive of Orchard Road and Marina Bay Sands Casino. Guests can visit the fitness center for a workout or enjoy Malaysian cuisine at Princess Terrace, one of 2 restaurants. Other highlights at this upscale hotel include an outdoor pool, a bar/lounge, and a sauna. The property is just a short walk to public transportation: Havelock Station is 6 minutes and Outram Park Station is 14 minutes.   ",7.6/10 Good,"403 Havelock Road, Singapore, 169632",https://images.trvl-media.com/lodging/1000000/560000/555100/555023/353c7c84.jpg?impolicy=resizecrop&rw=500&ra=fit
560319,"InterContinental Singapore Robertson Quay, an IHG Hotel","When you stay at InterContinental Singapore Robertson Quay, an IHG Hotel, you'll be just a 5-minute drive from Orchard Road and Marina Bay Sands Casino. Guests can indulge in spa services, and Publico, one of 4 restaurants, serves Italian cuisine. Other highlights at this luxurious hotel include 2 bars/lounges, an outdoor pool, and a 24-hour fitness center. The property is just a short walk to public transportation: Fort Canning MRT station is 10 minutes and Havelock Station is 11 minutes.   ",8.8/10 Fabulous,"1 Nanson Road, at Robertson Quay, Singapore, 238909",https://images.trvl-media.com/lodging/1000000/570000/560400/560319/3e173f29.jpg?impolicy=resizecrop&rw=500&ra=fit
571404,Grand Mercure Singapore Roxy,"When you stay at Grand Mercure Singapore Roxy, you'll be within a 10-minute drive of Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests can take a dip in the outdoor pool or grab a bite to eat at Feast Asia, which is one of 2 restaurants and serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include a fitness center and a snack bar/deli. The property is just a short walk to public transportation: Marine Parade Station is 5 minutes away.   ",8.6/10 Fabulous,"50 East Coast Road, Roxy Square, Singapore, 428769",https://images.trvl-media.com/lodging/1000000/580000/571500/571404/525afa33.jpg?impolicy=resizecrop&rw=500&ra=fit
861823,Fairmont Singapore,"Putting you just a 5-minute drive from Marina Bay Sands Casino and Orchard Road, Fairmont Singapore offers an airport shuttle (available 24 hours) for SGD 160 per vehicle. Guests can visit the spa to be pampered with deep-tissue massages, body wraps, or facials, and The Eight, one of 12 restaurants, serves international cuisine and is open for breakfast and lunch. Other highlights at this luxurious hotel include 2 outdoor pools, a poolside bar, and a 24-hour fitness center. The property is just a short walk to public transportation: Esplanade Station is 2 minutes and City Hall Station is 4 minutes.   ",9.0/10 Superb,"80 Bras Basah Road, Singapore, 189560",https://images.trvl-media.com/lodging/1000000/870000/861900/861823/e07abb91.jpg?impolicy=resizecrop&rw=500&ra=fit
892568,Carlton Hotel Singapore,"At Carlton Hotel Singapore, you'll be just a 5-minute drive from Marina Bay Sands Casino and Orchard Road. You can visit the spa to be pampered with deep-tissue massages, body wraps, or aromatherapy, and Wah Lok, one of 4 restaurants, serves Chinese cuisine and is open for lunch and dinner. Other highlights at this luxurious hotel include an outdoor pool, a poolside bar, and a fitness center. The overall property condition and nearby shopping get good marks from fellow travelers. Public transportation is just a short walk: Bras Basah Station is 3 minutes and Esplanade Station is 5 minutes.   ",8.8/10 Fabulous,"76 Bras Basah Road, Singapore, 189558",https://images.trvl-media.com/lodging/1000000/900000/892600/892568/2c1233d0.jpg?impolicy=resizecrop&rw=500&ra=fit
892933,"Duxton Reserve Singapore, Autograph Collection","Duxton Reserve Singapore, Autograph Collection puts you just a 5-minute drive from Marina Bay Sands Casino and Marina Bay Sands Skypark. Guests looking for a bite to eat can check out the restaurant, and the bar/lounge is the perfect spot to grab a drink at the end of the day. This luxurious hotel is also just a 5-minute drive from Gardens by the Bay and Bugis Street Shopping District. The property is just a short walk to public transportation: Maxwell Station is 3 minutes and Tanjong Pagar Station is 6 minutes.   ",8.6/10 Fabulous,"83 Duxton Road, Singapore, 089540",https://images.trvl-media.com/lodging/1000000/900000/893000/892933/3babee13.jpg?impolicy=resizecrop&rw=500&ra=fit
892942,Grand Park City Hall,"Grand Park City Hall puts you just a 5-minute drive from Marina Bay Sands Casino and Orchard Road. After visiting the fitness center for a workout, you can grab a bite to eat at the restaurant or unwind with a drink at the bar/lounge. An outdoor pool, a snack bar/deli, and a terrace are other highlights at this luxurious hotel. The property is just a short walk to public transportation: City Hall Station is 4 minutes and Clarke Quay Station is 8 minutes.   ",8.6/10 Fabulous,"10 Coleman Street, Singapore, 179809",https://images.trvl-media.com/lodging/1000000/900000/893000/892942/22d5e049.jpg?impolicy=resizecrop&rw=500&ra=fit
906060,Hotel Royal,"Hotel Royal puts you just a 5-minute drive from Orchard Road and Bugis Street Shopping District. Guests can take a dip in the outdoor pool or grab a bite to eat at Trishaw Coffee House, which is one of 3 restaurants and serves breakfast, lunch, and dinner. Other highlights include a fitness center and a bar/lounge. The property is just a short walk to public transportation: Newton Station is 11 minutes and Novena Station is 15 minutes.   ",6.8/10 Good,"36 Newton Road, Singapore, 307964",https://images.trvl-media.com/lodging/1000000/910000/906100/906060/e529db0b.jpg?impolicy=resizecrop&rw=500&ra=fit
