siteId,gaiaId,regionName,propertyId,hotelName,hotelDesc
300000040,502825,"Jurong Bird Park, Singapore, Singapore",88627722,Citadines Connect Rochester Singapore,"At Citadines Connect Rochester Singapore, you'll be within a 15-minute drive of Marina Bay Sands Casino and Universal Studios Singapore. There's also an outdoor pool, and apartments offer Smart TVs and slippers. Fellow travelers say great things about the helpful staff and location. The property is just a short walk to public transportation: Buona Vista Station is 5 minutes and One-North Station is 12 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",71254754,lyf One-North Singapore,"Featuring a rooftop terrace, lyf One-North Singapore puts you within a 10-minute drive of Orchard Road. You can visit the fitness center for a workout or unwind with a drink at the bar/lounge. Other highlights include an outdoor pool and a garden. The property is just a short walk to public transportation: One-North Station is 5 minutes and Buona Vista Station is 12 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",4715695,Park Avenue Rochester,"Park Avenue Rochester features an airport shuttle and puts you within a 15-minute drive of Marina Bay Sands Casino and Universal Studios Singapore. After having fun at the outdoor pool, you can grab a bite to eat at the restaurant or unwind with a drink at the bar/lounge. Other highlights at this upscale hotel include a fitness center, a terrace, and a garden. The property is just a short walk to public transportation: Buona Vista Station is 6 minutes and One-North Station is 12 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",9988732,Momentus Hotel Alexandra,"When you stay at Momentus Hotel Alexandra, you'll be within a 10-minute drive of Marina Bay Sands Casino and Universal Studios Singapore. After having fun at the outdoor pool, you can grab a bite to eat at the restaurant or unwind with a drink at the bar/lounge. Other highlights include a poolside bar, a fitness center, and a children's pool. Fellow travelers say good things about the overall property condition. The property is just a short walk to public transportation: Queenstown Station is 13 minutes away.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",76936991,Coller Boutique Hostel,"When you stay at Coller Boutique Hostel, you'll be just a 5-minute drive from Marina Bay Sands Casino and Orchard Road. You can unwind with a drink at the bar/lounge, and the coffee shop/cafe is the perfect spot to grab a bite to eat. Also, Bugis Street Shopping District and Marina Bay Sands Skypark are just a 5-minute drive away. The property is just a short walk to public transportation: Havelock Station is 7 minutes and Outram Park Station is 9 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",99286802,Hotel Faber Park Singapore - Handwritten Collection,"When you stay at Hotel Faber Park Singapore - Handwritten Collection, you'll be within a 10-minute drive of Universal Studios Singapore and Marina Bay Sands Casino. After splashing around at the outdoor pool, you can grab a bite to eat at the restaurant or unwind with a drink at the bar/lounge. This upscale hotel is also within a short drive of Marina Bay Sands Skypark and Gardens by the Bay. Public transportation is just a short walk: Telok Blangah Station is 7 minutes and HarbourFront Station is 13 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",7062,JEN Singapore Tanglin by Shangri-La,"At JEN Singapore Tanglin by Shangri-La, you'll be within a 10-minute drive of Marina Bay Sands Casino and Orchard Road. Guests can visit the spa to be pampered with deep-tissue massages, body wraps, or facials, and J65, one of 2 restaurants, serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include an outdoor pool, a poolside bar, and a fitness center. Fellow travelers like that it's just a short walk to public transportation: Orchard Boulevard Station is 3 minutes away and Napier Station is 8 minutes. "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",4424337,ibis budget Singapore Mount Faber,"At ibis budget Singapore Mount Faber, you'll be within a 10-minute drive of Universal Studios Singapore and Marina Bay Sands Casino. Free perks include WiFi and self parking. Also, Marina Bay Sands Skypark and Gardens by the Bay are within a short drive. The property is just a short walk to public transportation: Telok Blangah Station is 7 minutes and HarbourFront Station is 12 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",5775231,Fragrance Hotel - Viva,"At Fragrance Hotel - Viva, you'll be within a 10-minute drive of Universal Studios Singapore and Marina Bay Sands Casino. Free perks include WiFi and self parking. Also, Marina Bay Sands Skypark and Gardens by the Bay are within a short drive. Public transportation is just a short walk: Telok Blangah Station is 7 minutes and HarbourFront Station is 12 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",22322,Shangri-La Singapore,"Shangri-La Singapore puts you within a 10-minute drive of Marina Bay Sands Casino and Orchard Road. You can visit the spa to be pampered with hot stone massages, body wraps, or aromatherapy, and The Waterfall, one of 3 restaurants, serves Italian cuisine. Other highlights at this luxurious hotel include 2 outdoor pools, a poolside bar, and a health club. Fellow travelers like the pool and helpful staff. Public transportation is close by: Orchard Station is just 14 minutes by foot.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",906059,Orchard Rendezvous Hotel by Far East Hospitality,"Orchard Rendezvous Hotel by Far East Hospitality puts you within a 10-minute drive of Marina Bay Sands Casino and Orchard Road. After visiting the fitness center for a workout, you can grab a bite to eat at one of the 5 restaurants or unwind with a drink at the bar/lounge. An outdoor pool, a seasonal outdoor pool, and a snack bar/deli are other highlights at this upscale hotel. Public transportation is just a short walk: Orchard Station is 9 minutes and Orchard Boulevard Station is 10 minutes.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",18410248,Mercure Singapore On Stevens,"At Mercure Singapore On Stevens, you'll be just a 5-minute drive from Orchard Road and Bugis Street Shopping District. After splashing around at one of the 2 outdoor pools, you can visit one of the 14 restaurants for a bite to eat, or unwind with a drink at one of the 2 bars/lounges. Other highlights at this upscale hotel include a 24-hour health club, a 24-hour fitness center, and a fitness center. The overall property condition and location get good marks from fellow travelers. The property is just a short walk to public transportation: Stevens Station is 10 minutes away.   "
300000040,502825,"Jurong Bird Park, Singapore, Singapore",1778579,The St. Regis Singapore,"Putting you within a 10-minute drive of Marina Bay Sands Casino and Orchard Road, The St. Regis Singapore offers an airport shuttle (available 24 hours) for SGD 210 per vehicle. Guests can visit the spa to be pampered with hot stone massages, hydrotherapy, or mani/pedis, and Brasserie Les Saveurs, one of 4 restaurants, serves French cuisine and is open for breakfast, lunch, and dinner. An outdoor pool, a poolside bar, and a 24-hour fitness center are other highlights at this luxurious hotel. Fellow travelers like the overall property condition. The property is just a short walk to public transportation: Orchard Boulevard Station is 7 minutes and Napier Station is 11 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",9644785,The Quay Hotel West Coast,"Placing you within a 15-minute drive of Universal Studios Singapore and Marina Bay Sands Casino, The Quay Hotel West Coast offers an airport shuttle (available 24 hours) for SGD 55 per vehicle. Guests indulge in massages, then grab a bite to eat at the restaurant. Also, Orchard Road and Bugis Street Shopping District are within a short drive.   "
300000040,6005088,"Jurong, Singapore, Singapore",88627722,Citadines Connect Rochester Singapore,"At Citadines Connect Rochester Singapore, you'll be within a 15-minute drive of Marina Bay Sands Casino and Universal Studios Singapore. There's also an outdoor pool, and apartments offer Smart TVs and slippers. Fellow travelers say great things about the helpful staff and location. The property is just a short walk to public transportation: Buona Vista Station is 5 minutes and One-North Station is 12 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",4715695,Park Avenue Rochester,"Park Avenue Rochester features an airport shuttle and puts you within a 15-minute drive of Marina Bay Sands Casino and Universal Studios Singapore. After having fun at the outdoor pool, you can grab a bite to eat at the restaurant or unwind with a drink at the bar/lounge. Other highlights at this upscale hotel include a fitness center, a terrace, and a garden. The property is just a short walk to public transportation: Buona Vista Station is 6 minutes and One-North Station is 12 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",71254754,lyf One-North Singapore,"Featuring a rooftop terrace, lyf One-North Singapore puts you within a 10-minute drive of Orchard Road. You can visit the fitness center for a workout or unwind with a drink at the bar/lounge. Other highlights include an outdoor pool and a garden. The property is just a short walk to public transportation: One-North Station is 5 minutes and Buona Vista Station is 12 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",9988732,Momentus Hotel Alexandra,"When you stay at Momentus Hotel Alexandra, you'll be within a 10-minute drive of Marina Bay Sands Casino and Universal Studios Singapore. After having fun at the outdoor pool, you can grab a bite to eat at the restaurant or unwind with a drink at the bar/lounge. Other highlights include a poolside bar, a fitness center, and a children's pool. Fellow travelers say good things about the overall property condition. The property is just a short walk to public transportation: Queenstown Station is 13 minutes away.   "
300000040,6005088,"Jurong, Singapore, Singapore",95439982,COMO Metropolitan Singapore,"COMO Metropolitan Singapore puts you just a 5-minute drive from Orchard Road and Bugis Street Shopping District. Guests can grab a bite to eat at one of the 2 restaurants and visit the spa to be pampered with deep-tissue massages, reflexology, or mani/pedis. This luxurious hotel also features an outdoor pool, a poolside bar, and a bar/lounge. Public transportation is just a short walk: Somerset Station is 7 minutes and Orchard Station is 9 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",7062,JEN Singapore Tanglin by Shangri-La,"At JEN Singapore Tanglin by Shangri-La, you'll be within a 10-minute drive of Marina Bay Sands Casino and Orchard Road. Guests can visit the spa to be pampered with deep-tissue massages, body wraps, or facials, and J65, one of 2 restaurants, serves breakfast, lunch, and dinner. Other highlights at this upscale hotel include an outdoor pool, a poolside bar, and a fitness center. Fellow travelers like that it's just a short walk to public transportation: Orchard Boulevard Station is 3 minutes away and Napier Station is 8 minutes. "
300000040,6005088,"Jurong, Singapore, Singapore",22322,Shangri-La Singapore,"Shangri-La Singapore puts you within a 10-minute drive of Marina Bay Sands Casino and Orchard Road. You can visit the spa to be pampered with hot stone massages, body wraps, or aromatherapy, and The Waterfall, one of 3 restaurants, serves Italian cuisine. Other highlights at this luxurious hotel include 2 outdoor pools, a poolside bar, and a health club. Fellow travelers like the pool and helpful staff. Public transportation is close by: Orchard Station is just 14 minutes by foot.   "
300000040,6005088,"Jurong, Singapore, Singapore",1778579,The St. Regis Singapore,"Putting you within a 10-minute drive of Marina Bay Sands Casino and Orchard Road, The St. Regis Singapore offers an airport shuttle (available 24 hours) for SGD 210 per vehicle. Guests can visit the spa to be pampered with hot stone massages, hydrotherapy, or mani/pedis, and Brasserie Les Saveurs, one of 4 restaurants, serves French cuisine and is open for breakfast, lunch, and dinner. An outdoor pool, a poolside bar, and a 24-hour fitness center are other highlights at this luxurious hotel. Fellow travelers like the overall property condition. The property is just a short walk to public transportation: Orchard Boulevard Station is 7 minutes and Napier Station is 11 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",18410248,Mercure Singapore On Stevens,"At Mercure Singapore On Stevens, you'll be just a 5-minute drive from Orchard Road and Bugis Street Shopping District. After splashing around at one of the 2 outdoor pools, you can visit one of the 14 restaurants for a bite to eat, or unwind with a drink at one of the 2 bars/lounges. Other highlights at this upscale hotel include a 24-hour health club, a 24-hour fitness center, and a fitness center. The overall property condition and location get good marks from fellow travelers. The property is just a short walk to public transportation: Stevens Station is 10 minutes away.   "
300000040,6005088,"Jurong, Singapore, Singapore",18236555,Novotel Singapore on Stevens,"When you stay at Novotel Singapore on Stevens, you'll be just a 5-minute drive from Orchard Road and Bugis Street Shopping District. After a dip in one of 2 outdoor pools, guests can grab a bite to eat at Food Exchange, one of 14 restaurants, which serves international cuisine and is open for breakfast, lunch, and dinner. Other highlights at this upscale hotel include 2 bars/lounges, a 24-hour health club, and a fitness center. Public transportation is close by: Stevens Station is just 10 minutes by foot.   "
300000040,6005088,"Jurong, Singapore, Singapore",906059,Orchard Rendezvous Hotel by Far East Hospitality,"Orchard Rendezvous Hotel by Far East Hospitality puts you within a 10-minute drive of Marina Bay Sands Casino and Orchard Road. After visiting the fitness center for a workout, you can grab a bite to eat at one of the 5 restaurants or unwind with a drink at the bar/lounge. An outdoor pool, a seasonal outdoor pool, and a snack bar/deli are other highlights at this upscale hotel. Public transportation is just a short walk: Orchard Station is 9 minutes and Orchard Boulevard Station is 10 minutes.   "
300000040,6005088,"Jurong, Singapore, Singapore",553888,Orchard Hotel Singapore,"Orchard Hotel Singapore features a nightclub and puts you just a 5-minute drive from Orchard Road. Guests can take a dip in the outdoor pool or grab a bite to eat at Orchard Cafe, which is one of 2 restaurants and serves breakfast, lunch, and dinner. Other highlights at this luxurious hotel include a fitness center, a poolside bar, and a bar/lounge. Fellow travelers like the overall property condition and breakfast. Public transportation is just a short walk: Orchard Station is 8 minutes and Orchard Boulevard Station is 12 minutes.   "
